Title	Year	IMDB	RT Aud	RT Critics	Description
Dave	1993	6.8	71	94	Ivan Reitman's refreshingly earnest political comedy benefits from an understated, charming script and a breezy performance by Kevin Kline.
Bulworth	1998	6.8	68	75	Star and director Beatty's ambitious take on race and politics in 20th-century America isn't perfect, but manages to provide more than its share of thought-provoking laughs.
Broadway Damage	1997	6.8	48	28	No consensus yet.
Bicentennial Man	1999	6.8	58	36	Bicentennial Man is ruined by a bad script and ends up being dull and mawkish.
Beavis and Butt-head Do America	1996	6.8	70	72	Beavis and Butt-Head Do America is unabashedly offensive, unapologetically stupid, and unexpectedly funny.
Above Suspicion	1995	6.8	52	60	No consensus yet.
A Prairie Home Companion	2006	6.8	59	81	The final film by the great Robert Altman, A Prairie Home Companion, the big screen adaptation of Garrison Keillor's radio broadcast, showcases plenty of the director's strengths: it's got a gigantic cast and plenty of quirky acting and dialogue. Much like the radio show, Companion features clever jokes, rousing tunes, and endearing characters. With strong work from Lindsay Lohan, Meryl Streep, Kevin Kline, and Tommy Lee Jones, it's a worthy swan song from one of the cinema's best.
A Goofy Movie	1995	6.8	70	53	No consensus yet.
8MM	1999	6.8	52	21	Its sadistic violence is unappealing and is lacking in suspense and mystery.
55 Days at Peking	1963	6.8	53	57	No consensus yet.
