Title	Year	IMDB	RT Aud	RT Critics	Description
Finding Vivian Maier	2014	7.7	89	94	Narratively gripping, visually striking, and ultimately thought-provoking, Finding Vivian Maier shines an overdue spotlight on its subject's long-hidden brilliance.
The Last of the Unjust	2014	7.1	81	97	No consensus yet.
Particle Fever	2014	7.5	84	95	The concepts behind its heady subject matter may fly over the heads of most viewers, but Particle Fever presents it in such a way that even the least science-inclined viewers will find themselves enraptured.
Like Father, Like Son	2014	7.8	88	86	Sensitively written, smartly directed, and powerfully performed, Like Father, Like Son uses familiar-seeming elements to tell a thought-provoking story.
Alive Inside	2014	8.1	93	73	It's somewhat clumsily expressed, but Alive Inside offers such an uplifting message that it's ultimately hard to resist.
Blancanieves	2013	7.5	83	94	Smartly written and beautiful to behold, Blancanieves uses its classic source material to offer a dark tale, delightfully told.
Elaine Stritch: Shoot Me	2014	7.5	81	98	Brutally honest and utterly compelling, Elaine Stritch: Shoot Me offers a riveting, vanity-free portrait of its legendary subject while offering a few essential truths about the human condition.
Haider	2014	8.5	87	100	No consensus yet.
Love & Mercy	2015	7.4	89	89	As unconventional and unwieldy as the life and legacy it honors, Love & Mercy should prove moving for Brian Wilson fans while still satisfying neophytes.
Nosotros los Nobles	2013	7.4	83	100	No consensus yet.
Starred Up	2014	7.4	84	99	Smart, hard-hitting, and queasily realistic, Starred Up is an instant classic of U.K. prison cinema.
American Hustle	2013	7.3	74	92	Riotously funny and impeccably cast, American Hustle compensates for its flaws with unbridled energy and some of David O. Russell's most irrepressibly vibrant direction.
Gideon's Army	2013	7.8	88	100	No consensus yet.
The Challenger Disaster	2013	7.3	93	92	No consensus yet.
Tim's Vermeer	2014	7.8	86	89	Entertaining and profound in equal measure, Tim's Vermeer uses its seemingly esoteric subject to pose fascinating questions about art and obsession.
Metro Manila	2014	7.6	91	93	Infusing thriller tropes with a searing glimpse of modern-day corruption, Metro Manila is just as gripping as any action blockbuster -- and twice as thought-provoking.
Slow West	2015	8.1	75	91	Slow West serves as an impressive calling card for first-time writer-director John M. Maclean -- and offers an inventive treat for fans of the Western.
The Broken Circle Breakdown	2013	7.8	85	81	The Broken Circle Breakdown's reach occasionally exceeds its grasp, but overall, it's an intoxicating, finely wrought romance -- and one with a terrific soundtrack to boot.
The Return To Homs	2014	7.8	85	92	No consensus yet.
Toy Story That Time Forgot	2014	7.3	99	100	No consensus yet.
20,000 Days on Earth	2014	7.5	81	95	Revealing yet respectful, 20,000 Days on Earth is essential viewing for any Nick Cave fan.
A Band Called Death	2013	7.5	85	93	A Band Called Death is not only a fascinating portrait of a pioneering rock group, but also a tribute to family ties and perseverance in the face of hardship.
Backstreet Boys: Show 'Em What You're Made Of	2015	8.1	86	68	No consensus yet.
The Great Beauty	2013	7.4	79	91	Dazzlingly ambitious, beautifully filmed, and thoroughly enthralling, The Great Beauty offers virtuoso filmmaking from writer/director Paolo Sorrentino.
Blue Jasmine	2013	7.3	77	91	Woody Allen's Blue Jasmine finds the director in peak late-period form -- and benefiting from a superb cast led by Cate Blanchett.
Free China: The Courage to Believe	2013	8.0	85	100	No consensus yet.
It Follows	2015	7.6	65	96	Smart, original, and above all terrifying, It Follows is the rare modern horror film that works on multiple levels -- and leaves a lingering sting.
Keep On Keepin' On	2014	7.4	87	97	Offering keen observations and infectious warmth, Keep On Keepin' On is a joy for jazz buffs and novices alike.
The Selfish Giant	2013	7.3	81	97	Starkly emotional and beautifully directed, The Selfish Giant uses a lovely script and some powerful performances to present some of the best that modern British cinema has to offer.
7 Boxes	2014	7.2	85	100	No consensus yet.
99 Homes	2015	7.3	99	95	No consensus yet.
Far Out Isn't Far Enough: The Tomi Ungerer Story	2013	7.7	90	91	No consensus yet.
I Am Divine	2013	7.7	83	96	With warmth and affection, I Am Divine offers an engaging portrait of the complex personality behind a trailblazing cinematic figure.
Mauvais Sang	2013	7.4	84	90	No consensus yet.
The Duke Of Burgundy	2015	7.4	67	93	Stylish, sensual, and smart, The Duke of Burgundy proves that erotic cinema can have genuine substance.
The Theory of Everything	2014	7.8	84	79	Part biopic, part love story, The Theory of Everything rises on James Marsh's polished direction and the strength of its two leads.
What Maisie Knew	2013	7.5	80	87	It's undeniably difficult to watch at times, but What Maisie Knew ultimately rises on the strength of its solidly sourced script, powerful performances, and empathetic direction.
Zero Motivation	2014	7.8	83	84	Darkly funny and understatedly absurd, Zero Motivation is a refreshing addition to the canon of irreverent war comedies -- and an intriguing calling card for writer-director Talya Lavie.
A World Not Ours	2014	7.8	82	100	No consensus yet.
Calvary	2014	7.5	80	89	Led by a brilliant performance from Brendan Gleeson, Calvary tackles weighty issues with humor, intelligence, and sensitivity.
Frances Ha	2013	7.4	77	92	Audiences will need to tolerate a certain amount of narrative drift, but thanks to sensitive direction from Noah Baumbach and an endearing performance from Greta Gerwig, Frances Ha makes it easy to forgive.
In Bloom	2014	8.0	75	93	A coming-of-age drama entwined with a political statement, In Bloom underscores its well-worn themes with strong performances and palpable real-world tension.
Stations of the Cross	2015	7.6	84	91	A drama of thought-provoking depth as well as a showcase for newcomer Lea van Acken, Stations of the Cross hits hard and leaves a lingering impact.
Maidentrip	2014	7.5	81	81	No consensus yet.
Mistaken for Strangers	2014	7.4	85	91	A suitably complicated look at fraternal bonds, Mistaken for Strangers offers more depth and insight than the usual tour documentary.
When Marnie Was There	2015	7.7	89	89	When Marnie Was There is still blessed with enough visual and narrative beauty to recommend, even if it isn't quite as magical as Studio Ghibli's greatest works.
Still Alice	2015	7.5	85	89	Elevated by a gripping performance from Julianne Moore, Still Alice is a heartfelt drama that honors its delicate themes with bravery and sensitivity.
The Fault In Our Stars	2014	8.0	85	80	Wise, funny, and heartbreaking without resorting to exploitation, The Fault In Our Stars does right by its bestselling source material.
A Girl Walks Home Alone at Night	2014	7.1	76	95	A Girl Walks Home Alone at Night blends conventional elements into something brilliantly original -- and serves as a striking calling card for writer-director Ana Lily Amirpour.
After Tiller	2013	7.4	84	94	After Tiller applies empathy, honesty, and graceful understatement to a discussion that all too often lacks them all.
At Berkeley	2013	7.3	75	85	Its generous running time will test less forbearing viewers' patience, but for filmgoers seeking more of director Frederick Wiseman's observant brand of documentary, At Berkeley satisfies.
Blue Ruin	2014	7.1	78	96	Smart, stripped-down, and thrillingly grim, Blue Ruin proves that a well-told revenge story can still leave its audience on the edge of their seat.
Casting By	2013	7.6	80	92	No consensus yet.
Furious 7	2015	8.0	85	81	Serving up a fresh round of over-the-top thrills while adding unexpected dramatic heft, Furious 7 keeps the franchise moving in more ways than one.
God Loves Uganda	2013	7.5	78	100	No consensus yet.
Gore Vidal: The United States Of Amnesia	2014	7.9	83	82	No consensus yet.
How To Make Money Selling Drugs	2013	7.8	91	76	No consensus yet.
Life According To Sam	2013	8.1	97	100	No consensus yet.
Tales Of The Grim Sleeper	2014	7.3	82	100	No consensus yet.
The Hobbit: The Desolation of Smaug	2013	8.0	85	74	While still slightly hamstrung by "middle chapter" narrative problems and its formidable length, The Desolation of Smaug represents a more confident, exciting second chapter for the Hobbit series.
The Punk Singer	2013	7.4	82	88	It verges on hagiography, but given the deeply compelling nature of its subject's story, The Punk Singer can be forgiven its lack of objectivity.
Wrinkles	2014	7.6	81	96	Poignant and tender without succumbing to schmaltz, Wrinkles offers a thoughtful -- and beautifully animated -- look at old age.
Cutie And The Boxer	2013	7.2	75	95	A beautifully-made documentary that explores the challenges and richness of both marriage and art through the lens of a fascinating and complex couple.
A Hijacking	2013	7.2	76	95	A tense, gripping thriller, A Hijacking avoids action movie cliches and instead creates a palpable sense of dread by mixing gritty realism with atmospheric beauty.
Kingsman: The Secret Service	2015	8.1	85	74	Stylish, subversive, and above all fun, Kingsman: The Secret Service finds director Matthew Vaughn sending up the spy genre with gleeful abandon.
Le Pont du Nord	2013	7.2	81	100	No consensus yet.
The Machine Which Makes Everything Disappear	2013	8.0	80	64	No consensus yet.
McFarland USA	2015	7.8	89	78	Disney's inspirational sports drama formula might be old hat, but McFarland, USA proves it still works -- especially with a talented director and eminently likable star in the mix.
More Than Honey	2013	7.5	80	100	No consensus yet.
The Tribe	2015	7.5	75	86	A bleak, haunting drama whose wordless dialogue speaks volumes, The Tribe is a bold, innovative take on silent films for a contemporary audience.
Rich Hill	2014	7.3	80	84	As compassionate as it is infuriating, Rich Hill offers a sobering glimpse of American poverty.
Rocks in my Pockets	2014	7.6	74	100	No consensus yet.
The History Of Future Folk	2013	7.5	86	93	High on quirky smarts and low on splashy special effects, The History of Future Folk is an unusual -- and unusually fun -- slice of sci-fi.
The Spectacular Now	2013	7.2	76	92	The Spectacular Now is an adroit, sensitive film that avoids typical coming-of-age story trappings.
Ain't In It For My Health: A Film About Levon Helm	2013	7.2	76	92	No consensus yet.
Fed Up	2014	7.7	84	81	Compelling and troubling in equal measure, Fed Up is an advocacy documentary that earns its outrage.
God's Horses	2014	7.3	77	100	No consensus yet.
Narco Cultura	2013	7.3	78	86	Disturbing, thought-provoking, and timely, Narco Cultura sheds some crucial light on an important -- and underserved -- subject.
Dirty Wars	2013	7.5	74	85	Some viewers may find fault with director Rick Rowley's filmmaking methods, but they aren't distracting enough to keep Dirty Wars from serving as a terribly compelling argument against elements of American foreign policy.
A Pigeon Sat on a Branch Reflecting on Existence	2015	7.2	67	91	Expertly assembled and indelibly original, A Pigeon Sat on a Branch concludes writer-director Roy Andersson's Living trilogy in style.
Lamb Of God's As The Palaces Burn	2014	8.1	88	78	No consensus yet.
Birders: The Central Park Effect	2013	7.3	77	100	No consensus yet.
Charlie's Country	2015	7.3	86	93	Powerfully performed and beautifully directed, Charlie's Country uses its protagonist's personal saga to explore poignant universal themes.
Cinderella	2015	7.5	80	84	Refreshingly traditional in a revisionist era, Kenneth Branagh's Cinderella proves Disney hasn't lost any of its old-fashioned magic.
Fire In The Blood	2013	7.7	89	88	No consensus yet.
Liv & Ingmar	2013	7.3	82	91	No consensus yet.
Spy	2015	7.5	82	93	Simultaneously broad and progressive, Spy offers further proof that Melissa McCarthy and writer-director Paul Feig bring out the best in one another -- and delivers scores of belly laughs along the way.
The Conjuring	2013	7.5	82	85	Well-crafted and gleefully creepy, The Conjuring ratchets up dread through a series of effective old-school scares.
The Inevitable Defeat of Mister & Pete	2013	7.5	88	90	No consensus yet.
